date,meantempm,maxtempm,mintempm,meanpressurem,maxpressurem,minpressurem,meanhumidity,maxhumidity,minhumidity,rain
3/24/2010,10,15,6,1005.39,1010,1003,77,94,59,1
3/25/2010,11,13,9,999.78,1002,997,90,100,82,1
3/26/2010,10,13,7,1001.64,1002,1001,72,87,51,1
3/27/2010,10,13,7,1004.72,1009,1001,75,93,62,1
3/28/2010,10,14,6,1007.12,1009,1004,72,93,51,1
3/29/2010,10,12,8,999.7,1004,992,90,100,82,1
3/30/2010,10,12,7,987.75,992,985,82,94,62,1
3/31/2010,6,7,4,989.56,999,983,75,93,61,1
4/1/2010,6,10,2,1006.97,1010,1001,66,93,35,1
4/2/2010,8,10,6,1004.26,1009,1001,76,87,66,1
4/3/2010,8,11,6,1001,1002,1000,74,87,50,1
4/4/2010,8,11,4,1010.35,1020,1001,71,93,44,1
4/5/2010,9,13,5,1021.93,1023,1020,68,81,54,0
4/6/2010,12,15,8,1016.36,1021,1013,61,87,42,0
4/7/2010,10,13,6,1016.89,1024,1013,81,94,67,1
4/8/2010,9,15,3,1029.46,1032,1025,67,93,48,0
4/9/2010,11,16,6,1033.21,1034,1032,71,93,55,0
4/10/2010,8,13,4,1033.3,1035,1031,77,100,58,0
4/11/2010,8,11,5,1029,1031,1027,74,93,54,0
4/12/2010,10,13,6,1026.03,1028,1024,70,87,51,0
4/13/2010,9,14,4,1023.19,1024,1022,67,93,41,1
4/14/2010,7,9,5,1020.91,1022,1020,78,87,71,0
4/15/2010,8,13,4,1022.76,1026,1021,71,93,38,0
4/16/2010,8,11,3,1027.15,1028,1026,78,93,66,0
4/17/2010,6,13,0,1022.29,1026,1017,73,100,33,0
4/18/2010,8,15,0,1015.41,1017,1014,68,93,45,0
4/19/2010,9,11,7,1017.24,1018,1016,77,93,62,0
4/20/2010,10,14,5,1017.72,1020,1015,58,93,38,0
4/21/2010,7,12,2,1020.34,1022,1019,65,87,38,0
4/22/2010,6,10,1,1019.03,1022,1017,69,93,54,0
4/23/2010,7,13,1,1017.12,1018,1016,64,93,41,0
4/24/2010,10,17,2,1018.61,1019,1018,65,93,37,0
4/25/2010,12,19,6,1019.36,1022,1018,74,93,52,1
4/26/2010,13,17,9,1024.47,1027,1022,72,93,59,0
4/27/2010,12,17,8,1027.25,1029,1026,72,93,59,0
4/28/2010,13,20,6,1020.78,1026,1015,65,94,43,0
4/29/2010,16,21,10,1010.24,1015,1006,65,88,49,1
4/30/2010,12,16,9,1008.79,1010,1006,71,94,48,1
5/1/2010,14,16,11,1008.81,1010,1008,78,88,55,1
5/2/2010,8,10,6,1010.63,1015,1008,88,94,71,1
5/3/2010,8,10,5,1020.41,1026,1016,69,87,47,1
5/4/2010,7,11,3,1025.81,1027,1025,74,87,58,0
5/5/2010,8,12,3,1020.32,1025,1016,81,93,66,0
5/6/2010,10,13,5,1012.09,1015,1011,70,93,54,0
5/7/2010,8,12,4,1011.05,1012,1011,76,93,58,1
5/8/2010,8,10,7,1011.42,1013,1010,90,100,82,1
5/9/2010,8,10,4,1012.27,1013,1011,84,93,71,1
5/10/2010,7,11,3,1012.19,1014,1011,70,93,54,0
5/11/2010,5,9,1,1012.29,1014,1012,72,93,54,0
5/12/2010,5,10,0,1014.68,1016,1013,71,93,50,1
5/13/2010,6,11,2,1014.5,1016,1013,64,93,47,0
5/14/2010,10,14,6,1012.26,1014,1012,59,87,41,0
5/15/2010,12,16,9,1014.74,1015,1014,60,76,45,0
5/16/2010,12,16,7,1015.97,1018,1015,70,94,51,1
5/17/2010,12,16,7,1023.23,1027,1018,72,94,51,1
5/18/2010,10,16,5,1028.74,1030,1027,76,100,59,0
5/19/2010,12,19,6,1029.49,1030,1029,65,94,46,0
5/20/2010,18,22,13,1031.37,1032,1030,72,88,56,0
5/21/2010,16,20,12,1031.38,1032,1030,78,94,68,0
5/22/2010,14,18,10,1029.6,1031,1028,84,100,56,0
5/23/2010,16,23,8,1023.97,1027,1019,72,100,46,0
5/24/2010,20,26,12,1013.86,1018,1011,62,94,44,0
5/25/2010,12,15,10,1012.58,1013,1012,75,94,58,0
5/26/2010,12,14,9,1009.76,1011,1009,72,82,59,0
5/27/2010,12,15,9,1009.56,1010,1009,81,93,63,1
5/28/2010,14,19,9,1013.6,1016,1010,55,76,37,0
5/29/2010,14,16,11,1010.47,1016,1006,77,94,55,1
5/30/2010,16,19,12,1009.38,1014,1005,63,94,37,0
5/31/2010,13,15,10,1018.69,1021,1014,80,94,67,0
6/1/2010,10,13,8,1016.6,1019,1015,92,100,82,1
6/2/2010,13,18,8,1021.64,1024,1018,81,100,68,0
6/3/2010,12,18,7,1022.84,1024,1021,66,94,45,0
6/4/2010,14,20,8,1020.66,1021,1020,77,93,64,0
6/5/2010,17,24,10,1017.81,1020,1014,74,100,53,0
6/6/2010,19,23,15,1010.64,1015,1009,82,100,33,1
6/7/2010,16,20,13,1010.65,1012,1007,72,88,52,1
6/8/2010,16,20,12,1001.94,1007,1000,79,94,56,1
6/9/2010,16,19,13,1004.54,1006,1003,82,100,64,1
6/10/2010,16,19,14,1006.24,1007,1006,86,100,68,1
6/11/2010,15,17,13,1008.38,1011,1005,88,100,77,1
6/12/2010,14,18,10,1014.8,1019,1011,75,94,55,0
6/13/2010,16,20,12,1014.85,1019,1011,65,88,46,0
6/14/2010,14,19,10,1016.43,1024,1011,75,94,56,0
6/15/2010,12,16,8,1026.65,1028,1024,71,93,59,0
6/16/2010,13,17,9,1024.71,1028,1022,69,93,55,0
6/17/2010,14,19,8,1021.29,1023,1020,77,94,60,0
6/18/2010,14,17,10,1019.46,1021,1018,78,94,72,0
6/19/2010,12,14,9,1015.89,1018,1015,75,88,59,1
6/20/2010,13,17,9,1020,1023,1016,71,94,59,0
6/21/2010,16,21,11,1022.97,1024,1022,80,100,68,0
6/22/2010,18,25,12,1022.93,1024,1022,65,88,47,0
6/23/2010,21,26,16,1021.3,1022,1019,57,72,44,0
6/24/2010,19,24,14,1018.78,1020,1017,60,83,50,0
6/25/2010,19,23,15,1017.29,1018,1016,78,94,65,0
6/26/2010,18,21,14,1017.67,1018,1017,77,94,60,0
6/27/2010,20,28,13,1017.81,1019,1017,61,94,34,0
6/28/2010,22,27,16,1019.81,1021,1018,55,77,37,0
6/29/2010,21,26,16,1018.74,1020,1017,67,94,49,1
6/30/2010,22,25,17,1018.17,1019,1016,62,83,47,0
7/1/2010,20,25,15,1013.41,1016,1011,66,88,47,0
7/2/2010,24,29,19,1011.26,1014,1009,60,78,48,0
7/3/2010,21,25,16,1017.97,1021,1014,60,88,36,0
7/4/2010,20,25,15,1019.53,1021,1017,58,83,41,0
7/5/2010,20,24,13,1020.35,1024,1019,62,88,36,0
7/6/2010,16,21,11,1024.91,1027,1022,60,82,46,0
7/7/2010,18,23,14,1019.49,1022,1018,74,94,61,1
7/8/2010,22,26,17,1017.79,1019,1016,69,94,51,0
7/9/2010,24,30,18,1015.91,1018,1015,56,88,30,0
7/10/2010,24,29,20,1017.26,1019,1014,67,94,37,0
7/11/2010,22,26,18,1014.22,1015,1014,62,83,41,0
7/12/2010,18,22,15,1011.62,1015,1010,74,100,45,1
7/13/2010,17,20,14,1008.89,1011,1007,86,100,68,1
7/14/2010,18,21,16,1003.2,1007,1000,77,94,60,1
7/15/2010,18,20,15,1005.8,1009,1001,72,94,46,1
7/16/2010,18,21,15,1009.03,1013,1005,69,94,56,1
7/17/2010,18,21,14,1018.42,1024,1014,61,88,38,0
7/18/2010,18,23,13,1024.84,1026,1023,66,88,53,0
7/19/2010,21,27,15,1020.91,1024,1017,54,82,37,0
7/20/2010,22,25,18,1011.31,1017,1007,60,77,47,0
7/21/2010,20,23,15,1006.2,1008,1005,64,88,37,1
7/22/2010,18,22,13,1011.86,1016,1009,69,94,46,0
7/23/2010,16,20,13,1019.78,1024,1016,74,100,56,0
7/24/2010,18,25,12,1021.55,1024,1019,60,94,36,0
7/25/2010,20,25,16,1016.36,1019,1014,67,100,47,0
7/26/2010,20,23,16,1015.89,1017,1015,77,100,57,1
7/27/2010,20,24,17,1016.69,1017,1015,82,94,61,1
7/28/2010,20,24,15,1016,1017,1014,66,94,41,1
7/29/2010,17,21,13,1015.03,1016,1015,69,94,53,0
7/30/2010,17,22,12,1014.09,1015,1013,76,94,60,0
7/31/2010,20,23,17,1011.09,1013,1010,79,100,50,1
8/1/2010,18,22,15,1012.76,1014,1012,67,82,50,0
8/2/2010,18,21,14,1016.19,1018,1014,72,94,53,1
8/3/2010,17,22,12,1015.19,1017,1012,71,94,49,0
8/4/2010,18,21,13,1006.84,1012,1004,82,100,60,1
8/5/2010,16,21,11,1011.43,1014,1008,61,94,35,0
8/6/2010,16,21,10,1014.76,1016,1014,69,94,49,1
8/7/2010,20,23,16,1014.27,1016,1013,81,94,57,1
8/8/2010,18,22,15,1018.94,1020,1017,71,94,46,0
8/9/2010,18,23,14,1015.09,1018,1013,70,94,47,0
8/10/2010,18,20,16,1009.84,1013,1008,86,94,68,1
8/11/2010,18,22,13,1012.74,1014,1010,64,100,43,0
8/12/2010,17,20,13,1015.24,1017,1014,74,94,52,1
8/13/2010,15,18,12,1016.08,1017,1015,86,94,68,1
8/14/2010,16,18,13,1016.49,1019,1016,84,94,68,1
8/15/2010,18,21,14,1019.09,1020,1018,72,100,53,0
8/16/2010,18,22,14,1014.26,1017,1013,73,82,56,0
8/17/2010,18,20,15,1010.03,1013,1007,78,94,68,1
8/18/2010,18,21,14,1007.39,1009,1006,61,88,38,0
8/19/2010,18,22,13,1012.51,1014,1010,66,88,46,0
8/20/2010,20,24,17,1015.54,1018,1014,69,83,53,0
8/21/2010,22,24,20,1018.39,1019,1017,79,88,69,0
8/22/2010,20,22,18,1013.12,1017,1007,82,100,69,1
8/23/2010,18,21,15,998.79,1006,994,79,100,64,1
8/24/2010,16,20,13,1008.29,1013,1005,62,82,40,0
8/25/2010,16,19,13,1013.21,1015,1007,80,100,52,1
8/26/2010,18,21,16,1003.77,1006,1003,88,100,73,1
8/27/2010,15,18,12,1009.82,1017,1003,81,100,56,1
8/28/2010,16,20,11,1018.76,1020,1017,66,88,46,0
8/29/2010,16,19,12,1014.79,1018,1012,67,88,45,1
8/30/2010,14,19,10,1021.97,1026,1017,65,94,49,0
8/31/2010,14,18,9,1025.46,1027,1024,74,100,52,0
9/1/2010,14,19,8,1021.44,1024,1020,73,94,56,0
9/2/2010,14,19,10,1020.88,1022,1020,77,94,56,0
9/3/2010,16,20,11,1021.66,1022,1021,80,94,60,0
9/4/2010,14,19,10,1021.31,1022,1020,78,94,64,0
9/5/2010,16,19,12,1019.7,1021,1018,69,94,52,0
9/6/2010,16,18,15,1009.45,1018,1001,73,94,63,1
9/7/2010,16,20,12,1000.91,1002,1000,79,100,60,1
9/8/2010,16,17,14,1002.3,1007,1000,87,100,77,1
9/9/2010,18,22,14,1013.35,1018,1007,80,94,53,1
9/10/2010,18,21,14,1017.53,1019,1016,81,88,68,1
9/11/2010,18,21,16,1014.37,1016,1013,83,94,73,1
9/12/2010,16,20,12,1021.71,1026,1017,72,94,49,0
9/13/2010,15,19,11,1024.03,1026,1020,73,88,60,1
9/14/2010,17,19,14,1014.44,1020,1011,83,88,77,1
9/15/2010,14,18,10,1010.26,1012,1008,66,88,42,1
9/16/2010,14,16,11,1010.41,1012,1009,77,94,63,1
9/17/2010,12,16,9,1015.4,1019,1012,65,87,42,0
9/18/2010,12,17,7,1018.68,1019,1018,67,87,52,0
9/19/2010,15,17,13,1014.97,1017,1012,73,82,63,0
9/20/2010,18,21,15,1013.11,1017,1011,70,94,49,1
9/21/2010,16,21,10,1018.76,1020,1017,78,94,60,0
9/22/2010,16,24,9,1016,1020,1013,72,100,44,0
9/23/2010,16,19,14,1006.76,1012,1002,81,94,73,1
9/24/2010,12,15,9,1004.81,1012,1001,87,94,72,1
9/25/2010,10,14,6,1014.24,1015,1012,77,88,63,0
9/26/2010,11,13,9,1010.25,1014,1009,86,94,76,1
9/27/2010,13,15,11,1011.69,1014,1009,92,100,77,1
9/28/2010,16,17,14,1016.32,1018,1014,87,94,68,0
9/29/2010,15,17,12,1016.09,1018,1014,90,100,72,1
9/30/2010,13,16,10,1013.48,1015,1011,83,100,63,1
10/1/2010,14,16,13,1004,1011,999,88,100,39,1
10/2/2010,14,17,11,1004.09,1006,999,89,100,77,1
10/3/2010,16,18,14,996.36,999,995,85,94,77,1
10/4/2010,15,17,13,998.27,999,998,94,100,88,1
10/5/2010,14,17,12,1000.74,1003,999,93,100,88,1
10/6/2010,14,17,12,1006.32,1016,999,87,100,67,1
10/7/2010,12,17,6,1017.86,1019,1016,85,100,68,1
10/8/2010,16,18,15,1015.95,1017,1015,91,100,82,0
10/9/2010,15,16,14,1014.59,1017,1012,89,100,82,0
10/10/2010,14,18,11,1012.62,1016,1011,91,100,67,0
10/11/2010,13,17,9,1017.34,1019,1015,80,100,39,0
10/12/2010,12,15,9,1019.77,1020,1019,82,94,67,0
10/13/2010,12,13,10,1020.12,1021,1019,79,87,72,0
10/14/2010,10,12,9,1020.47,1021,1019,87,94,82,1
10/15/2010,11,13,9,1017.17,1020,1014,88,94,72,1
10/16/2010,10,14,7,1018.64,1024,1014,75,93,51,0
10/17/2010,10,13,6,1024.91,1026,1024,68,81,51,0
10/18/2010,10,14,5,1019,1024,1012,75,87,63,1
10/19/2010,10,12,6,1009.64,1012,1008,83,94,72,1
10/20/2010,6,8,3,1018.22,1023,1011,83,93,66,0
10/21/2010,7,12,2,1022.31,1024,1021,77,93,50,0
10/22/2010,10,13,6,1017.03,1020,1012,78,93,67,0
10/23/2010,10,13,6,1002.32,1010,1000,81,94,62,1
10/24/2010,6,10,3,1014.58,1022,1007,81,93,66,0
10/25/2010,6,11,2,1027.68,1029,1023,79,93,58,0
10/26/2010,8,13,3,1023.26,1029,1019,83,100,62,1
10/27/2010,13,15,11,1016.54,1020,1015,89,94,82,1
10/28/2010,13,16,10,1015.18,1016,1013,85,94,72,0
10/29/2010,12,14,11,1001.06,1012,994,83,94,67,1
10/30/2010,12,14,10,998,999,996,82,94,67,1
10/31/2010,10,12,9,1000.21,1007,996,92,100,87,1
11/1/2010,11,13,9,1012.61,1015,1008,87,94,77,0
11/2/2010,13,15,11,1009.14,1012,1006,79,94,67,1
11/3/2010,14,16,13,1011.37,1014,1006,72,88,55,0
11/4/2010,16,18,15,1017,1018,1014,77,82,68,1
11/5/2010,14,17,10,1018.03,1020,1015,87,100,77,1
11/6/2010,8,11,5,1014.81,1017,1010,82,94,67,1
11/7/2010,5,8,2,1004.89,1009,993,87,100,76,1
11/8/2010,6,8,3,972.81,991,968,86,93,71,1
11/9/2010,7,9,5,976.46,986,969,89,93,81,1
11/10/2010,5,7,2,996.83,1005,987,78,93,66,0
11/11/2010,9,15,3,988.56,1004,981,80,94,59,1
11/12/2010,12,13,10,992.09,994,987,77,100,63,1
11/13/2010,9,11,7,993.33,995,991,86,94,76,0
11/14/2010,8,10,5,995.47,1005,991,92,100,87,1
11/15/2010,3,7,-1,1014.1,1020,1005,93,100,87,0
11/16/2010,4,11,-2,1019.68,1022,1015,85,100,67,0
11/17/2010,6,7,6,1008.98,1015,1006,82,93,71,1
11/18/2010,8,10,6,1005.59,1008,1004,88,100,76,1
11/19/2010,6,10,3,1011.51,1014,1008,96,100,87,0
11/20/2010,6,8,4,1013.14,1014,1012,96,100,93,0
11/21/2010,6,8,5,1010.17,1012,1009,91,100,87,1
11/22/2010,6,8,4,1008.14,1009,1008,89,93,81,1
11/23/2010,6,7,4,1010.03,1011,1009,86,93,76,1
11/24/2010,3,5,1,1008.97,1010,1007,84,93,75,0
11/25/2010,2,3,0,1006.61,1008,1006,86,93,81,0
11/26/2010,0,3,-2,1005.42,1007,1003,87,93,75,0
11/27/2010,-2,1,-5,1003,1004,1002,93,100,86,0
11/28/2010,-2,1,-5,1004.94,1008,1003,89,93,80,0
11/29/2010,1,2,0,1010,1012,1008,88,100,75,0
11/30/2010,0,1,0,1011.71,1013,1010,93,100,81,0
12/1/2010,0,1,-1,1005.92,1009,1004,89,100,80,0
12/2/2010,-2,-1,-2,1007.03,1010,1005,94,100,86,0
12/3/2010,-4,2,-8,1011.2,1012,1008,92,100,70,0
12/4/2010,4,5,2,1004.26,1008,1002,90,93,65,1
12/5/2010,2,4,-1,1003.41,1004,1002,91,93,87,0
12/6/2010,-2,-1,-4,1002.03,1003,1001,98,100,93,0
12/7/2010,-2,1,-4,1004.68,1006,1003,91,100,81,0
12/8/2010,0,2,-1,1011.89,1022,1006,90,100,80,0
12/9/2010,1,4,-2,1028.46,1030,1023,77,93,65,0
12/10/2010,4,7,2,1029.92,1032,1027,85,93,81,0
12/11/2010,7,8,4,1024.35,1027,1022,83,87,76,0
12/12/2010,3,6,0,1023.59,1026,1022,90,100,81,0
12/13/2010,2,4,0,1026.57,1028,1025,91,100,81,0
12/14/2010,2,4,-1,1032.08,1036,1027,81,100,61,0
12/15/2010,2,5,-1,1032.79,1036,1026,90,100,80,1
12/16/2010,3,7,-1,1006.22,1024,1000,88,93,80,1
12/17/2010,-2,-1,-4,996.94,1001,995,88,100,80,0
12/18/2010,-2,2,-7,991.94,995,990,94,100,86,0
12/19/2010,-2,1,-4,993.42,999,991,87,100,80,0
12/20/2010,-4,1,-10,1001.74,1003,999,89,100,75,0
12/21/2010,2,2,1,1002.32,1004,1000,96,100,93,1
12/22/2010,2,2,0,1004.86,1007,1003,94,100,87,1
12/23/2010,0,2,-1,1008.31,1012,1007,82,87,75,0
12/24/2010,1,2,0,1016.16,1020,1012,82,93,75,0
12/25/2010,-1,0,-2,1027.6,1029,1024,89,93,80,0
12/26/2010,0,2,-3,1026.48,1029,1023,85,100,75,0
12/27/2010,2,3,2,1016.92,1022,1013,79,87,70,0
12/28/2010,4,6,2,1014.29,1018,1012,93,100,75,1
12/29/2010,6,7,5,1019.8,1023,1017,97,100,93,0
12/30/2010,5,6,4,1024.44,1026,1022,97,100,87,1
12/31/2010,5,6,4,1026.1,1027,1026,96,100,93,0
1/1/2011,5,7,3,1023.83,1026,1023,91,100,87,1
1/2/2011,2,3,0,1027.23,1028,1026,89,93,81,0
1/3/2011,2,4,1,1023.65,1027,1019,78,87,70,0
1/4/2011,4,5,2,1012.74,1019,1008,87,93,81,1
1/5/2011,6,7,4,999.83,1008,994,81,93,66,1
1/6/2011,4,7,2,994.69,1002,992,94,100,93,1
1/7/2011,6,11,1,999.22,1003,996,94,100,82,1
1/8/2011,7,11,3,996.73,1004,988,81,94,70,1
1/9/2011,4,7,2,1012,1018,1004,74,87,57,0
1/10/2011,4,8,1,1012.33,1018,1003,82,93,70,1
1/11/2011,6,8,4,1005.09,1016,996,84,100,71,1
1/12/2011,8,12,4,1009.97,1016,1008,92,100,81,1
1/13/2011,12,13,11,1009.06,1010,1008,91,100,88,1
1/14/2011,10,12,8,1008.95,1014,1007,89,94,82,1
1/15/2011,10,11,8,1014.97,1016,1014,79,93,67,1
1/16/2011,12,13,10,1016.7,1018,1016,77,88,67,0
1/17/2011,8,11,6,1018.23,1021,1015,92,100,87,1
1/18/2011,5,7,3,1027.31,1032,1021,87,100,76,1
1/19/2011,4,6,1,1033.35,1034,1033,88,93,81,0
1/20/2011,4,6,2,1034.97,1037,1033,90,100,76,1
1/21/2011,2,4,0,1037.67,1039,1037,88,100,75,1
1/22/2011,3,6,0,1035.26,1038,1034,91,100,81,1
1/23/2011,6,7,6,1032.5,1034,1032,90,93,81,1
1/24/2011,5,7,3,1028.85,1032,1023,86,93,71,1
1/25/2011,6,8,4,1014.97,1022,1009,91,100,81,1
1/26/2011,4,7,2,1009.86,1016,1007,90,100,75,1
1/27/2011,2,3,1,1020.69,1024,1016,71,87,60,0
1/28/2011,1,2,0,1022.67,1024,1021,74,93,60,0
1/29/2011,2,2,0,1021.97,1023,1021,80,87,75,0
1/30/2011,2,4,-1,1022.5,1024,1021,80,93,70,0
1/31/2011,2,4,0,1025.09,1026,1024,81,93,70,0
2/1/2011,3,7,-1,1024.82,1027,1024,89,100,81,1
2/2/2011,6,10,2,1023.47,1027,1020,86,100,71,0
2/3/2011,8,10,5,1022.39,1026,1016,70,81,54,0
2/4/2011,11,12,10,1014.77,1015,1014,69,71,66,0
2/5/2011,12,13,11,1016.47,1018,1014,71,82,67,0
2/6/2011,10,12,9,1019.26,1020,1019,71,76,66,0
2/7/2011,10,12,6,1013.66,1019,1009,69,82,58,0
2/8/2011,5,9,1,1022.16,1024,1019,74,87,58,0
2/9/2011,5,8,2,1017.63,1021,1015,80,87,76,0
2/10/2011,9,10,8,1012.14,1016,1010,84,93,76,1
2/11/2011,10,12,8,1010.81,1012,1009,83,94,76,1
2/12/2011,8,11,5,1010.39,1011,1009,74,87,54,1
2/13/2011,6,8,5,1002.94,1009,999,67,71,62,1
2/14/2011,8,10,5,1001.58,1003,999,60,76,43,1
2/15/2011,6,7,6,991.09,994,989,85,87,81,1
2/16/2011,8,9,5,995.54,997,994,87,87,81,0
2/17/2011,7,9,5,1005.36,1009,1002,86,100,66,0
2/18/2011,5,6,4,1013.83,1015,1013,87,100,81,0
2/19/2011,,,,1009.3,1010,1008,,,,1
2/20/2011,,,,1014.83,1016,1014,,,,0
2/21/2011,6,6,5,1012.54,1014,1011,84,93,81,0
2/22/2011,5,6,4,1016.65,1019,1015,83,93,70,0
2/23/2011,8,10,7,1015.52,1018,1014,95,100,87,1
2/24/2011,12,14,9,1022,1024,1020,77,93,63,0
2/25/2011,12,15,8,1023.27,1025,1021,82,100,67,0
2/26/2011,9,10,8,1011.29,1014,1009,84,94,71,1
2/27/2011,6,9,4,1018.96,1022,1018,78,93,62,1
2/28/2011,4,4,3,1028.92,1032,1027,89,93,81,1
3/1/2011,4,5,3,1037.3,1038,1036,84,87,76,0
3/2/2011,4,7,1,1035.08,1036,1034,79,93,70,0
3/3/2011,4,6,2,1034.28,1035,1033,80,93,66,0
3/4/2011,4,6,1,1032.4,1033,1031,79,93,70,0
3/5/2011,4,7,2,1029.59,1030,1029,83,93,71,0
3/6/2011,4,5,4,1031.65,1032,1031,70,75,65,0
3/7/2011,4,7,2,1029.26,1031,1027,64,93,49,0
3/8/2011,4,12,-3,1019.21,1022,1016,62,100,47,0
3/9/2011,8,11,6,1015.05,1016,1014,61,87,47,0
3/10/2011,10,13,8,1009.85,1011,1009,64,81,54,1
3/11/2011,9,12,6,1014.67,1016,1013,63,81,54,0
3/12/2011,10,12,9,1001.31,1005,999,70,76,58,0
